id,title,first_submitted,v1_month,primary_topic,topics,tags,confidence,curated,institutions,authors,arxiv_url,doi
"2407.00114","OmniJARVIS: Unified Vision-Language-Action Tokenization Enables Open-World Instruction Following Agents","2024-07-01","2024-07","foundation","foundation|general_learning","multimodal","high","false","","Zihao Wang|Shaofei Cai|Zhancun Mu|Haowei Lin|Ceyao Zhang|Xuejie Liu|Qing Li|Anji Liu|Xiaojian Ma|Yitao Liang","https://arxiv.org/abs/2407.00114","10.48550/arXiv.2407.00114"
"2407.00278","PerAct2: Benchmarking and Learning for Robotic Bimanual Manipulation Tasks","2024-07-01","2024-07","dexterous","dexterous","real_robot|benchmark|open_code","medium","false","","Markus Grotz|Mohit Shridhar|Tamim Asfour|Dieter Fox","https://arxiv.org/abs/2407.00278","10.48550/arXiv.2407.00278"
"2407.00451","Language-Guided Object-Centric Diffusion Policy for Generalizable and Collision-Aware Manipulation","2024-07-01","2024-07","general_learning","general_learning","data_engine|3d_4d|real_robot|benchmark","medium","false","","Hang Li|Qian Feng|Zhi Zheng|Jianxiang Feng|Zhaopeng Chen|Alois Knoll","https://arxiv.org/abs/2407.00451","10.1109/ICRA55743.2025.11127231"
"2407.00548","KOROL: Learning Visualizable Object Feature with Koopman Operator Rollout for Manipulation","2024-07-01","2024-07","general_learning","dexterous|world_model|general_learning","real_robot|benchmark|open_code","medium","false","","Hongyi Chen|Abulikemu Abuduweili|Aviral Agrawal|Yunhai Han|H. Ravichandar|Changliu Liu|Jeffrey Ichnowski","https://arxiv.org/abs/2407.00548","10.48550/arXiv.2407.00548"
"2407.01479","EquiBot: SIM(3)-Equivariant Diffusion Policy for Generalizable and Data Efficient Learning","2024-07-01","2024-07","general_learning","general_learning","data_engine|real_robot|safety","high","false","","Jingyun Yang|Zi-ang Cao|Congyue Deng|Rika Antonova|Shuran Song|Jeannette Bohg","https://arxiv.org/abs/2407.01479","10.48550/arXiv.2407.01479"
"2407.01531","Sparse Diffusion Policy: A Sparse, Reusable, and Flexible Policy for Robot Learning","2024-07-01","2024-07","general_learning","general_learning","real_robot|benchmark","high","false","","Yixiao Wang|Yifei Zhang|Mingxiao Huo|Ran Tian|Xiang Zhang|Yichen Xie|Chenfeng Xu|Pengliang Ji|Wei Zhan|Mingyu Ding|Masayoshi Tomizuka","https://arxiv.org/abs/2407.01531","10.48550/arXiv.2407.01531"
"2407.03162","Bunny-VisionPro: Real-Time Bimanual Dexterous Teleoperation for Imitation Learning","2024-07-03","2024-07","dexterous","dexterous|general_learning","data_engine|benchmark|safety","high","false","","Runyu Ding|Yuzhe Qin|Jiyue Zhu|Chengzhe Jia|Shiqi Yang|Ruihan Yang|Xiaojuan Qi|Xiaolong Wang","https://arxiv.org/abs/2407.03162","10.1109/IROS60139.2025.11247017"
"2407.04152","VoxAct-B: Voxel-Based Acting and Stabilizing Policy for Bimanual Manipulation","2024-07-04","2024-07","dexterous","dexterous|general_learning","3d_4d|real_robot","medium","false","","I. Liu|Sicheng He|Daniel Seita|Gaurav Sukhatme","https://arxiv.org/abs/2407.04152","10.48550/arXiv.2407.04152"
"2407.04942","FOSP: Fine-tuning Offline Safe Policy through World Models","2024-07-06","2024-07","world_model","world_model|general_learning","multimodal|real_robot|benchmark|safety","medium","false","","Chenyang Cao|Yucheng Xin|Silang Wu|Longxiang He|Zichen Yan|Junbo Tan|Xueqian Wang","https://arxiv.org/abs/2407.04942","10.48550/arXiv.2407.04942"
"2407.05996","Multimodal Diffusion Transformer: Learning Versatile Behavior from Multimodal Goals","2024-07-08","2024-07","general_learning","general_learning","data_engine|multimodal|real_robot|benchmark","medium","false","","Moritz Reuss|Ömer Erdinç Yagmurlu|Fabian Wenzel|Rudolf Lioutikov","https://arxiv.org/abs/2407.05996","10.48550/arXiv.2407.05996"
"2407.06886","Aligning Cyber Space With Physical World: A Comprehensive Survey on Embodied AI","2024-07-09","2024-07","world_model","world_model|general_learning","multimodal|sim_to_real|benchmark","low","false","","Yang Liu|Weixing Chen|Yongjie Bai|Jing-Hua Luo|Xinshuai Song|Kaixuan Jiang|Zhida Li|Ganlong Zhao|Junyi Lin|Guanbin Li|Wen Gao|Liang Lin","https://arxiv.org/abs/2407.06886","10.1109/TMECH.2025.3574943"
"2407.07775","Mobility VLA: Multimodal Instruction Navigation with Long-Context VLMs and Topological Graphs","2024-07-10","2024-07","foundation","foundation|dual_system","data_engine|multimodal|real_robot","high","false","","Hao-Tien Lewis Chiang|Zhuo Xu|Zipeng Fu|M. Jacob|Tingnan Zhang|T. Lee|Wenhao Yu|Connor Schenck|David Rendleman|Dhruv Shah|Fei Xia|Jasmine Hsu|Jonathan Hoech|Pete Florence|Sean Kirmani|Sumeet Singh|Vikas Sindhwani|Carolina Parada|Chelsea Finn|Peng Xu|Sergey Levine|Jie Tan","https://arxiv.org/abs/2407.07775","10.48550/arXiv.2407.07775"
"2407.07788","BiGym: A Demo-Driven Mobile Bi-Manual Manipulation Benchmark","2024-07-10","2024-07","general_learning","general_learning","data_engine|multimodal|real_robot|benchmark","medium","false","","N. Chernyadev|Nicholas Backshall|Xiao Ma|Yunfan Lu|Younggyo Seo|Stephen James","https://arxiv.org/abs/2407.07788","10.48550/arXiv.2407.07788"
"2407.07868","Green Screen Augmentation Enables Scene Generalisation in Robotic Manipulation","2024-07-10","2024-07","general_learning","general_learning","data_engine|multimodal|real_robot","high","false","","Eugene Teoh|Sumit Patidar|Xiao Ma|Stephen James","https://arxiv.org/abs/2407.07868","10.48550/arXiv.2407.07868"
